node_id,region_key,city_name,department,node_type,status,capacity_gbps,utilization_pct,households_passed,active_subscribers,penetration_pct,latency_ms,uptime_pct,olt_count,ont_deployed,fiber_km,technology,last_maintenance,next_maintenance,noc_region,latitude,longitude
1,400,Madrid Centro,Comunidad de Madrid,Primary Hub,Operational,400,48,450000,155000,34.4,2.8,99.95,45,155000,2800,XGS-PON,2026-01-15,2026-03-15,Madrid,40.4168,-3.7038
2,400,Chamartín,Comunidad de Madrid,Distribution Node,Operational,100,52,38000,16500,43.4,2.5,99.98,8,16500,280,XGS-PON,2026-01-20,2026-03-20,Madrid,40.4568,-3.6883
3,400,Salamanca,Comunidad de Madrid,Distribution Node,Operational,100,55,52000,22000,42.3,2.6,99.97,10,22000,320,XGS-PON,2026-01-18,2026-03-18,Madrid,40.4260,-3.6795
4,400,Moncloa,Comunidad de Madrid,Distribution Node,Operational,100,45,45000,18000,40.0,2.4,99.99,9,18000,275,XGS-PON,2026-01-22,2026-03-22,Madrid,40.4350,-3.7180
5,400,Retiro,Comunidad de Madrid,Distribution Node,Operational,120,58,85000,32000,37.6,2.9,99.94,15,32000,450,XGS-PON,2026-02-01,2026-04-01,Madrid,40.4145,-3.6823
6,400,Hortaleza,Comunidad de Madrid,Distribution Node,Operational,80,42,48000,17500,36.5,3.1,99.96,10,17500,380,XGS-PON,2026-01-25,2026-03-25,Madrid,40.4753,-3.6408
7,400,Chamberí,Comunidad de Madrid,Distribution Node,Operational,60,48,42000,14000,33.3,3.0,99.93,8,14000,160,GPON,2026-02-05,2026-04-05,Madrid,40.4350,-3.7050
8,400,Arganzuela,Comunidad de Madrid,Distribution Node,Operational,40,44,28000,9500,33.9,2.9,99.95,6,9500,120,GPON,2026-01-28,2026-03-28,Madrid,40.3980,-3.6950
9,400,Fuencarral,Comunidad de Madrid,Distribution Node,Operational,50,51,32000,8000,25.0,2.7,99.96,4,8000,95,XGS-PON,2026-02-03,2026-04-03,Madrid,40.4810,-3.7100
17,401,Barcelona Centro,Cataluña,Regional Hub,Operational,100,52,85000,30000,35.3,4.2,99.92,12,30000,520,XGS-PON,2026-01-12,2026-03-12,Barcelona,41.3874,2.1686
18,401,Eixample,Cataluña,Distribution Node,Operational,40,48,18000,6500,36.1,4.5,99.90,4,6500,120,GPON,2026-02-07,2026-04-07,Barcelona,41.3887,2.1615
19,401,Gràcia,Cataluña,Distribution Node,Operational,35,45,12000,3500,29.2,4.3,99.93,3,3500,85,XGS-PON,2026-01-19,2026-03-19,Barcelona,41.4036,2.1570
20,401,Sant Martí,Cataluña,Distribution Node,Operational,25,55,5000,2000,40.0,4.6,99.89,2,2000,65,GPON,2026-02-09,2026-04-09,Barcelona,41.4185,2.1999
22,402,Valencia Centro,Comunidad Valenciana,Regional Hub,Operational,80,48,70000,22000,31.4,5.5,99.88,10,22000,420,XGS-PON,2026-01-14,2026-03-14,Valencia,39.4699,-0.3763
23,402,Ruzafa,Comunidad Valenciana,Distribution Node,Operational,30,52,15000,4000,26.7,5.8,99.85,3,4000,95,GPON,2026-02-11,2026-04-11,Valencia,39.4600,-0.3720
24,402,Benimaclet,Comunidad Valenciana,Distribution Node,Operational,20,45,10000,2000,20.0,6.0,99.82,2,2000,55,GPON,2026-01-31,2026-03-31,Valencia,39.4860,-0.3580
26,403,Sevilla Centro,Andalucía,Regional Hub,Operational,60,48,40000,11000,27.5,8.5,99.82,7,11000,280,XGS-PON,2026-01-16,2026-03-16,Sevilla,37.3891,-5.9845
27,403,Triana,Andalucía,Distribution Node,Operational,25,52,10000,2800,28.0,8.8,99.78,2,2800,75,GPON,2026-02-13,2026-04-13,Sevilla,37.3830,-6.0050
28,403,Nervión,Andalucía,Distribution Node,Operational,15,44,5000,1200,24.0,9.0,99.75,1,1200,45,GPON,2026-01-27,2026-03-27,Sevilla,37.3889,-5.9750
30,404,Bilbao Centro,País Vasco,Regional Hub,Operational,50,45,35000,9500,27.1,6.8,99.85,6,9500,280,XGS-PON,2026-01-17,2026-03-17,Bilbao,43.2627,-2.9253
31,404,Deusto,País Vasco,Distribution Node,Operational,20,48,10000,2500,25.0,7.2,99.82,2,2500,65,GPON,2026-02-15,2026-04-15,Bilbao,43.2740,-2.9640
33,405,Murcia Centro,Región de Murcia,Regional Hub,Operational,45,50,32000,10500,32.8,6.2,99.87,6,10500,240,XGS-PON,2026-01-21,2026-03-21,Murcia,37.9922,-1.1307
34,405,Espinardo,Región de Murcia,Distribution Node,Operational,18,55,8000,2500,31.3,6.5,99.83,2,2500,65,GPON,2026-02-16,2026-04-16,Murcia,38.0115,-1.1425
36,406,Zaragoza Centro,Aragón,Regional Hub,Operational,35,42,15000,4800,32.0,9.5,99.78,4,4800,180,GPON,2026-01-13,2026-03-13,Zaragoza,41.6488,-0.8891
37,406,Actur,Aragón,Distribution Node,Operational,12,38,3000,700,23.3,10.0,99.72,1,700,35,GPON,2026-02-17,2026-04-17,Zaragoza,41.6700,-0.8850
38,407,Valladolid Centro,Castilla y León,Regional Hub,Operational,40,48,15000,4500,30.0,7.8,99.80,4,4500,220,XGS-PON,2026-01-11,2026-03-11,Valladolid,41.6520,-4.7286
39,407,Parquesol,Castilla y León,Distribution Node,Operational,15,52,3000,1000,33.3,8.2,99.76,1,1000,55,GPON,2026-02-18,2026-04-18,Valladolid,41.6380,-4.7650
41,408,Las Palmas Centro,Islas Canarias,Regional Hub,Operational,30,40,12000,3800,31.7,7.5,99.82,3,3800,160,GPON,2026-02-01,2026-04-01,Las Palmas,28.1235,-15.4363
42,408,Telde,Islas Canarias,Distribution Node,Operational,15,45,3000,700,23.3,7.8,99.78,1,700,45,GPON,2026-02-19,2026-04-19,Las Palmas,27.9946,-15.4190
